Day,CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude
Tuesday,17091174,IDENTITY THEFT,FRAUD,1100 HIGH CT,04/25/2017 12:00:00 AM 03:03,37.888702, -122.26371
Tuesday,17046808,VEHICLE STOLEN,MOTOR VEHICLE THEFT,800 BANCROFT WAY,08/08/2017 12:00:00 AM 14:00,37.863373, -122.296893
Tuesday,17024712,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 VIRGINIA ST,05/02/2017 12:00:00 AM 08:00,37.874575, -122.284796
Tuesday,17012850,DISTURBANCE,DISORDERLY CONDUCT,500 ARLINGTON AVE,03/07/2017 12:00:00 AM 17:15,37.901384, -122.276783
Tuesday,17091178,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,06/20/2017 12:00:00 AM 16:00,37.862844, -122.298368
Tuesday,17049627,THEFT FELONY (OVER $950),LARCENY,2200 BLAKE ST,08/22/2017 12:00:00 AM 04:00,37.863353, -122.265053
Tuesday,17043338,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DWIGHT WAY,07/25/2017 12:00:00 AM 18:30,37.864826, -122.260719
Tuesday,17020184,NARCOTICS,DRUG VIOLATION,SECOND STREET & UNIVERSITY AVE,04/11/2017 12:00:00 AM 18:15,37.866981, -122.302083
Tuesday,17091670,BURGLARY AUTO,BURGLARY - VEHICLE,2000 BERKELEY WAY,08/22/2017 12:00:00 AM 19:30,37.872691, -122.270741
Tuesday,17021559,THEFT MISD. (UNDER $950),LARCENY,2000 OREGON ST,04/18/2017 12:00:00 AM 16:18,37.857409, -122.268473
Tuesday,17037066,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,06/27/2017 12:00:00 AM 08:00,37.871167, -122.268285
Tuesday,17018716,FRAUD/FORGERY,FRAUD,8480 EDES AVE,04/04/2017 12:00:00 AM 12:36,Berkeley, CA
Tuesday,17029243,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,05/23/2017 12:00:00 AM 15:20,37.862844, -122.298368
Tuesday,17043263,ASSAULT/BATTERY MISD.,ASSAULT,2200 BROWNING ST,07/25/2017 12:00:00 AM 12:37,37.866594, -122.287944
Tuesday,17090499,VANDALISM,VANDALISM,2300 CHANNING WAY,03/07/2017 12:00:00 AM 02:00,37.866327, -122.263359
Tuesday,17017257,BURGLARY AUTO,BURGLARY - VEHICLE,1800 SOLANO AVE,03/28/2017 12:00:00 AM 06:20,37.891332, -122.279975
Tuesday,17091285,BURGLARY AUTO,BURGLARY - VEHICLE,2300 MILVIA ST,07/04/2017 12:00:00 AM 14:00,37.866581, -122.270179
